m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M657/99,Short-beaked common dolphin,Common Dolphin,14/12/1999,12,1999,56.29327011,-6.349231243,M,juvenile
M656/99,Striped dolphin,Pelagic Dolphins,14/12/1999,12,1999,58.30273819,-5.145187855,F,juvenile
M659/99,Harbour porpoise,Harbour porpoise,18/12/1999,12,1999,55.84103012,-5.131914139,F,juvenile
M661/99,Bottlenose dolphin,Pelagic Dolphins,21/12/1999,12,1999,57.26623154,-2.024840832,M,juvenile
M660/99,Risso's dolphin,Pelagic Dolphins,21/12/1999,12,1999,59.11587143,-2.623441696,U,unknown
M662/99,Harbour porpoise,Harbour porpoise,22/12/1999,12,1999,58.3129158,-6.738430977,U,unknown
M663/99,Harbour porpoise,Harbour porpoise,24/12/1999,12,1999,57.28734589,-5.727044106,U,unknown
M2/00,Atlantic white-sided dolphin,Pelagic Dolphins,04/01/2000,1,2000,60.26794815,-1.20285213,F,adult
M3/00,Sowerby's beaked whale,Deep Divers,07/01/2000,1,2000,56.11272049,-3.152977943,F,adult
M163/00,Minke whale,Baleen Whales,14/01/2000,1,2000,58.57929993,-4.765620708,U,unknown
M236/00,Risso's dolphin,Pelagic Dolphins,19/01/2000,1,2000,59.14425659,-3.085417509,U,unknown
M6/00,Long-finned pilot whale,Pelagic Dolphins,23/01/2000,1,2000,58.6458168,-3.081965923,M,juvenile
M7/00,Sperm whale,Deep Divers,02/02/2000,2,2000,60.20954895,-1.588586926,M,juvenile
M12/00,Harbour porpoise,Harbour porpoise,06/02/2000,2,2000,57.20567322,-6.01370573,M,adult
M17/00,Harbour porpoise,Harbour porpoise,06/02/2000,2,2000,57.57024765,-7.483645439,U,unknown
M34/00,Harbour porpoise,Harbour porpoise,07/02/2000,2,2000,59.38879013,-2.420709848,U,unknown
M14/00,Harbour porpoise,Harbour porpoise,08/02/2000,2,2000,54.86994934,-3.622143745,F,juvenile
M35/00,White-beaked dolphin,Pelagic Dolphins,11/02/2000,2,2000,59.12952423,-3.319101572,U,unknown
